GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A43AA1970,A43AB1970,B37AA1970,B37AB1970,B39AA1970,B39AB1970
"G0800210","1970","Colorado","08","080","Conejos County","021","0210","Conejos",1980,565,1576,404,0,1
"G0800230","1970","Colorado","08","080","Costilla County","023","0230","Costilla",826,288,659,167,1,0
"G0800250","1970","Colorado","08","080","Crowley County","025","0250","Crowley",1083,213,837,246,0,0
"G0800270","1970","Colorado","08","080","Custer County","027","0270","Custer",411,476,315,96,0,0
"G0800290","1970","Colorado","08","080","Delta County","029","0290","Delta",5298,888,4088,1210,0,1
"G0800310","1970","Colorado","08","080","Denver County","031","0310","Denver",185331,8434,93149,92182,6725,7707
"G0800330","1970","Colorado","08","080","Dolores County","033","0330","Dolores",500,243,380,120,0,0
"G0800350","1970","Colorado","08","080","Douglas County","035","0350","Douglas",2420,261,1786,634,2,1
"G0800370","1970","Colorado","08","080","Eagle County","037","0370","Eagle",2302,955,1269,1033,1,2
"G0800390","1970","Colorado","08","080","Elbert County","039","0390","Elbert",1280,122,954,326,1,1
"G0800410","1970","Colorado","08","080","El Paso County","041","0410","El Paso",67581,6129,39731,27850,1205,1424
"G0800430","1970","Colorado","08","080","Fremont County","043","0430","Fremont",7006,615,5208,1798,3,1
"G0800450","1970","Colorado","08","080","Garfield County","045","0450","Garfield",4923,614,3255,1668,4,1
"G0800470","1970","Colorado","08","080","Gilpin County","047","0470","Gilpin",469,796,382,87,0,0
"G0800490","1970","Colorado","08","080","Grand County","049","0490","Grand",1370,1596,885,485,0,0
"G0800510","1970","Colorado","08","080","Gunnison County","051","0510","Gunnison",2215,1146,1213,1002,1,7
"G0800530","1970","Colorado","08","080","Hinsdale County","053","0530","Hinsdale",80,571,61,19,0,0
