GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1920,A08AA1920,A08AB1920
"G0801030","1920","Colorado","08","080","Rio Blanco County","103","1030","Rio Blanco",3135,1776,1359
"G0801050","1920","Colorado","08","080","Rio Grande County","105","1050","Rio Grande",7855,4110,3745
"G0801070","1920","Colorado","08","080","Routt County","107","1070","Routt",8948,5183,3765
"G0801090","1920","Colorado","08","080","Saguache County","109","1090","Saguache",4638,2521,2117
"G0801110","1920","Colorado","08","080","San Juan County","111","1110","San Juan",1700,1119,581
"G0801130","1920","Colorado","08","080","San Miguel County","113","1130","San Miguel",5281,3246,2035
"G0801150","1920","Colorado","08","080","Sedgwick County","115","1150","Sedgwick",4207,2280,1927
"G0801170","1920","Colorado","08","080","Summit County","117","1170","Summit",1724,998,726
"G0801190","1920","Colorado","08","080","Teller County","119","1190","Teller",6696,3558,3138
"G0801210","1920","Colorado","08","080","Washington County","121","1210","Washington",11208,5983,5225
"G0801230","1920","Colorado","08","080","Weld County","123","1230","Weld",54059,28474,25585
"G0801250","1920","Colorado","08","080","Yuma County","125","1250","Yuma",13897,7271,6626
"G0900010","1920","Connecticut","09","090","Fairfield County","001","0010","Fairfield",320936,161500,159436
"G0900030","1920","Connecticut","09","090","Hartford County","003","0030","Hartford",336027,170437,165590
"G0900050","1920","Connecticut","09","090","Litchfield County","005","0050","Litchfield",76262,38608,37654
"G0900070","1920","Connecticut","09","090","Middlesex County","007","0070","Middlesex",47550,23265,24285
"G0900090","1920","Connecticut","09","090","New Haven County","009","0090","New Haven",415214,209597,205617
"G0900110","1920","Connecticut","09","090","New London County","011","0110","New London",104611,52514,52097
"G0900130","1920","Connecticut","09","090","Tolland County","013","0130","Tolland",27216,13494,13722
"G0900150","1920","Connecticut","09","090","Windham County","015","0150","Windham",52815,25920,26895
"G1000010","1920","Delaware","10","100","Kent County","001","0010","Kent",31023,15646,15377
"G1000030","1920","Delaware","10","100","New Castle County","003","0030","New Castle",148239,76075,72164
"G1000050","1920","Delaware","10","100","Sussex County","005","0050","Sussex",43741,22034,21707
"G1100010","1920","District Of Columbia","11","110","District of Columbia","001","0010","District Of Columbia",437571,203543,234028
"G1200010","1920","Florida","12","120","Alachua County","001","0010","Alachua",31689,15864,15825
"G1200030","1920","Florida","12","120","Baker County","003","0030","Baker",5622,2953,2669
"G1200050","1920","Florida","12","120","Bay County","005","0050","Bay",11407,5963,5444
"G1200070","1920","Florida","12","120","Bradford County","007","0070","Bradford",12503,6553,5950
"G1200090","1920","Florida","12","120","Brevard County","009","0090","Brevard",8505,4483,4022
"G1200110","1920","Florida","12","120","Broward County","011","0110","Broward",5135,2760,2375
"G1200130","1920","Florida","12","120","Calhoun County","013","0130","Calhoun",8775,4603,4172
"G1200170","1920","Florida","12","120","Citrus County","017","0170","Citrus",5220,2722,2498
"G1200190","1920","Florida","12","120","Clay County","019","0190","Clay",5621,2898,2723
"G1200230","1920","Florida","12","120","Columbia County","023","0230","Columbia",14290,7136,7154
"G1200250","1920","Florida","12","120","Dade County","025","0250","Dade",42753,22335,20418
"G1200270","1920","Florida","12","120","DeSoto County","027","0270","De Soto",25434,14048,11386
"G1200310","1920","Florida","12","120","Duval County","031","0310","Duval",113540,56525,57015
"G1200330","1920","Florida","12","120","Escambia County","033","0330","Escambia",49386,25724,23662
"G1200350","1920","Florida","12","120","Flagler County","035","0350","Flagler",2442,1439,1003
"G1200370","1920","Florida","12","120","Franklin County","037","0370","Franklin",5318,2682,2636
"G1200390","1920","Florida","12","120","Gadsden County","039","0390","Gadsden",23539,11391,12148
"G1200470","1920","Florida","12","120","Hamilton County","047","0470","Hamilton",9873,4924,4949
"G1200530","1920","Florida","12","120","Hernando County","053","0530","Hernando",4548,2404,2144
"G1200570","1920","Florida","12","120","Hillsborough County","057","0570","Hillsborough",88257,44722,43535
"G1200590","1920","Florida","12","120","Holmes County","059","0590","Holmes",12850,6443,6407
"G1200630","1920","Florida","12","120","Jackson County","063","0630","Jackson",31224,15521,15703
