GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,B5S001,B5S002,B5S003,B5S004,B5S005,B5S006,B5S007,B5S008,B5S009,B5S010,B5S011,B5S012,B5S013,B5S014
"G0500010","1960","Arkansas","050","Arkansas","0010","Arkansas",8705,2834,0,0,7,0,0,8879,2923,0,1,6,0,0
"G0500030","1960","Arkansas","050","Ashley","0030","Ashley",7680,4330,0,1,0,0,0,7657,4551,1,0,0,0,0
"G0500050","1960","Arkansas","050","Baxter","0050","Baxter",4962,0,0,2,0,0,0,4977,0,1,1,0,0,0
"G0500070","1960","Arkansas","050","Benton","0070","Benton",17758,12,28,10,5,2,5,18395,11,35,10,0,0,1
"G0500090","1960","Arkansas","050","Boone","0090","Boone",7783,0,1,0,0,0,1,8327,3,1,0,0,0,0
"G0500110","1960","Arkansas","050","Bradley","0110","Bradley",4468,2413,0,0,0,0,0,4641,2506,0,1,0,0,0
"G0500130","1960","Arkansas","050","Calhoun","0130","Calhoun",1928,1032,0,0,0,0,0,1954,1076,0,0,1,0,0
"G0500150","1960","Arkansas","050","Carroll","0150","Carroll",5558,2,3,0,0,0,1,5716,4,0,0,0,0,0
"G0500170","1960","Arkansas","050","Chicot","0170","Chicot",4104,5082,1,0,35,0,0,4075,5665,1,0,27,0,0
"G0500190","1960","Arkansas","050","Clark","0190","Clark",7634,2656,2,1,1,0,3,7894,2753,2,1,1,0,2
"G0500210","1960","Arkansas","050","Clay","0210","Clay",10554,1,0,0,0,0,0,10700,2,0,1,0,0,0
"G0500230","1960","Arkansas","050","Cleburne","0230","Cleburne",4529,0,0,0,0,0,0,4529,1,0,0,0,0,0
"G0500250","1960","Arkansas","050","Cleveland","0250","Cleveland",2670,815,1,0,0,0,0,2569,889,0,0,0,0,0
"G0500270","1960","Arkansas","050","Columbia","0270","Columbia",8389,4596,3,0,0,0,1,8498,4908,3,1,0,0,1
"G0500290","1960","Arkansas","050","Conway","0290","Conway",5895,1655,2,0,0,0,0,6108,1768,2,0,0,0,0
"G0500310","1960","Arkansas","050","Craighead","0310","Craighead",22816,742,7,3,4,0,0,22875,842,9,2,2,0,1
"G0500330","1960","Arkansas","050","Crawford","0330","Crawford",10352,238,8,0,0,0,0,10414,296,10,0,0,0,0
"G0500350","1960","Arkansas","050","Crittenden","0350","Crittenden",9754,13577,2,0,28,1,5,9707,14442,1,0,38,3,6
"G0500370","1960","Arkansas","050","Cross","0370","Cross",6866,2807,0,0,8,0,0,6774,3089,0,0,7,0,0
"G0500390","1960","Arkansas","050","Dallas","0390","Dallas",3104,2038,0,0,0,0,0,3228,2148,3,0,0,1,0
"G0500410","1960","Arkansas","050","Desha","0410","Desha",5320,4791,0,0,8,0,1,5464,5181,0,0,5,0,0
"G0500430","1960","Arkansas","050","Drew","0430","Drew",5085,2515,0,0,5,0,0,4967,2639,0,0,2,0,0
"G0500450","1960","Arkansas","050","Faulkner","0450","Faulkner",10700,1227,0,0,1,0,0,10999,1375,1,0,0,0,0
"G0500470","1960","Arkansas","050","Franklin","0470","Franklin",4968,64,0,0,0,0,1,5123,56,1,0,0,0,0
"G0500490","1960","Arkansas","050","Fulton","0490","Fulton",3332,0,1,0,0,0,0,3321,0,1,1,0,1,0
"G0500510","1960","Arkansas","050","Garland","0510","Garland",20342,2258,8,3,0,0,3,21349,2706,21,2,0,0,5
"G0500530","1960","Arkansas","050","Grant","0530","Grant",3894,297,0,0,0,0,1,3830,272,0,0,0,0,0
"G0500550","1960","Arkansas","050","Greene","0550","Greene",12515,7,0,0,0,0,1,12666,7,1,0,0,0,1
"G0500570","1960","Arkansas","050","Hempstead","0570","Hempstead",5974,3497,1,0,0,0,0,6356,3832,1,0,0,0,0
"G0500590","1960","Arkansas","050","Hot Spring","0590","Hot Spring",9190,1578,3,0,0,0,1,9503,1615,0,3,0,0,0
"G0500610","1960","Arkansas","050","Howard","0610","Howard",4164,1106,3,0,0,0,0,4446,1154,5,0,0,0,0
"G0500630","1960","Arkansas","050","Independence","0630","Independence",9635,245,0,1,0,0,0,9882,282,1,0,0,0,2
"G0500650","1960","Arkansas","050","Izard","0650","Izard",3330,30,1,0,0,0,0,3380,24,0,0,0,0,1
"G0500670","1960","Arkansas","050","Jackson","0670","Jackson",9583,1666,0,1,0,0,1,9790,1800,0,2,0,0,0
"G0500690","1960","Arkansas","050","Jefferson","0690","Jefferson",22855,16594,3,0,42,1,5,23060,18771,2,5,29,2,4
"G0500710","1960","Arkansas","050","Johnson","0710","Johnson",5991,125,1,0,0,1,2,6166,134,1,0,0,0,0
"G0500730","1960","Arkansas","050","Lafayette","0730","Lafayette",3031,2444,0,0,0,0,0,3020,2535,0,0,0,0,0
"G0500750","1960","Arkansas","050","Lawrence","0750","Lawrence",8577,77,3,1,0,0,0,8535,70,2,1,0,1,0
"G0500770","1960","Arkansas","050","Lee","0770","Lee",4101,6231,2,3,19,0,1,4066,6560,1,2,15,0,0
"G0500790","1960","Arkansas","050","Lincoln","0790","Lincoln",4085,3818,8,0,0,0,4,3345,3180,3,0,0,0,4
"G0500810","1960","Arkansas","050","Little River","0810","Little River",3177,1395,1,0,0,0,0,3149,1489,0,0,0,0,0
"G0500830","1960","Arkansas","050","Logan","0830","Logan",7825,152,4,0,0,2,0,7790,173,6,0,2,2,1
"G0500850","1960","Arkansas","050","Lonoke","0850","Lonoke",9322,2855,4,4,0,0,0,9368,2994,0,4,0,0,0
"G0500870","1960","Arkansas","050","Madison","0870","Madison",4645,0,1,0,0,0,0,4415,3,4,0,0,0,0
"G0500890","1960","Arkansas","050","Marion","0890","Marion",3067,0,2,0,0,0,0,2971,1,0,0,0,0,0
"G0500910","1960","Arkansas","050","Miller","0910","Miller",11476,3816,24,5,0,0,3,12065,4265,26,3,0,1,2
"G0500930","1960","Arkansas","050","Mississippi","0930","Mississippi",24816,10141,7,4,33,3,6,24527,10571,10,17,26,8,5
"G0500950","1960","Arkansas","050","Monroe","0950","Monroe",4367,4031,5,0,8,0,0,4521,4376,9,0,10,0,0
"G0500970","1960","Arkansas","050","Montgomery","0970","Montgomery",2679,9,0,0,0,0,0,2668,11,1,2,0,0,0
"G0500990","1960","Arkansas","050","Nevada","0990","Nevada",3286,1914,0,0,0,0,0,3557,1943,0,0,0,0,0
"G0501010","1960","Arkansas","050","Newton","1010","Newton",3082,0,2,0,0,0,1,2873,1,3,0,0,0,1
"G0501030","1960","Arkansas","050","Ouachita","1030","Ouachita",9449,5827,2,0,9,0,2,10001,6334,3,1,12,0,1
"G0501050","1960","Arkansas","050","Perry","1050","Perry",2405,67,1,0,0,0,0,2362,90,1,0,0,1,0
"G0501070","1960","Arkansas","050","Phillips","1070","Phillips",9228,12222,3,4,54,0,8,9324,13086,7,2,51,0,8
"G0501090","1960","Arkansas","050","Pike","1090","Pike",3731,158,0,0,0,1,0,3794,178,1,0,1,0,0
"G0501110","1960","Arkansas","050","Poinsett","1110","Poinsett",13898,1594,2,0,4,0,0,13687,1642,4,1,2,0,0
"G0501130","1960","Arkansas","050","Polk","1130","Polk",5906,0,4,2,0,0,0,6062,0,6,1,0,0,0
"G0501150","1960","Arkansas","050","Pope","1150","Pope",10229,303,0,0,1,0,5,10265,371,1,1,0,1,0
"G0501170","1960","Arkansas","050","Prairie","1170","Prairie",4342,908,1,0,0,0,0,4229,1034,1,0,0,0,0
"G0501190","1960","Arkansas","050","Pulaski","1190","Pulaski",93111,24724,33,26,31,7,29,97666,27221,33,47,17,7,28
"G0501210","1960","Arkansas","050","Randolph","1210","Randolph",6170,78,0,0,0,0,0,6179,90,1,2,0,0,0
"G0501230","1960","Arkansas","050","St Francis","1230","St Francis",7132,9124,1,0,43,0,0,7192,9767,4,0,40,0,0
"G0501250","1960","Arkansas","050","Saline","1250","Saline",13385,981,0,1,0,0,0,13710,875,1,3,0,0,0
"G0501270","1960","Arkansas","050","Scott","1270","Scott",3659,1,3,0,0,0,0,3631,1,2,0,0,0,0
"G0501290","1960","Arkansas","050","Searcy","1290","Searcy",4129,0,1,0,0,0,0,3994,0,0,0,0,0,0
"G0501310","1960","Arkansas","050","Sebastian","1310","Sebastian",29724,2108,38,0,0,15,6,32305,2432,31,8,0,13,5
"G0501330","1960","Arkansas","050","Sevier","1330","Sevier",4545,480,2,0,0,0,0,4649,477,0,2,0,0,1
"G0501350","1960","Arkansas","050","Sharp","1350","Sharp",3179,0,1,0,0,0,0,3139,0,0,0,0,0,0
"G0501370","1960","Arkansas","050","Stone","1370","Stone",3168,0,1,0,0,0,0,3125,0,0,0,0,0,0
"G0501390","1960","Arkansas","050","Union","1390","Union",16712,7185,7,0,6,0,6,17735,7849,5,0,2,0,11
"G0501410","1960","Arkansas","050","Van Buren","1410","Van Buren",3578,49,0,0,0,0,0,3555,46,0,0,0,0,0
"G0501430","1960","Arkansas","050","Washington","1430","Washington",27887,223,28,10,13,2,9,27341,243,26,8,3,4,0
"G0501450","1960","Arkansas","050","White","1450","White",15529,588,5,8,2,2,2,15938,653,3,11,3,0,1
"G0501470","1960","Arkansas","050","Woodruff","1470","Woodruff",4032,2799,1,0,5,0,0,4170,2942,2,0,2,1,0
"G0501490","1960","Arkansas","050","Yell","1490","Yell",5711,204,0,0,0,0,0,5799,223,3,0,0,0,0
"G0600010","1960","California","060","Alameda","0010","Alameda",377000,54057,840,3856,6372,2607,957,391996,57363,848,4306,5541,1768,698
"G0600030","1960","California","060","Alpine","0030","Alpine",105,5,91,2,0,0,0,104,2,88,0,0,0,0
"G0600050","1960","California","060","Amador","0050","Amador",5231,169,63,0,15,2,13,4431,8,52,0,4,0,2
"G0600070","1960","California","060","Butte","0070","Butte",39877,473,222,66,62,20,45,40456,458,199,66,51,12,23
"G0600090","1960","California","060","Calaveras","0090","Calaveras",5317,80,56,13,2,10,5,4731,13,57,1,0,1,3
"G0600110","1960","California","060","Colusa","0110","Colusa",6112,50,74,39,23,0,17,5575,55,73,26,21,0,10
"G0600130","1960","California","060","Contra Costa","0130","Contra Costa",189349,12247,227,913,536,735,141,189539,13047,220,973,470,499,134
"G0600150","1960","California","060","Del Norte","0150","Del Norte",8773,15,333,14,1,1,11,8239,12,358,10,0,3,1
"G0600170","1960","California","060","El Dorado","0170","El Dorado",14912,23,58,3,15,35,9,14263,15,30,7,6,11,3
