GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AE7AA1990,AE7AB1990,AE7AC1990,AE7AD1990,AE7AE1990,AE7AF1990,AE7AG1990,AE7AH1990,AE7AI1990,AE7AJ1990,AE7AK1990,AE7AL1990
"G0500470","1990","Arkansas","05","050","Franklin County","047","0470","Franklin County",14506,98,89,23,2,,138,1,9,1,30,
"G0500490","1990","Arkansas","05","050","Fulton County","049","0490","Fulton County",9943,9,47,9,1,,26,1,0,0,1,
"G0500510","1990","Arkansas","05","050","Garland County","051","0510","Garland County",66309,5594,471,226,20,,461,10,13,2,291,
"G0500530","1990","Arkansas","05","050","Grant County","053","0530","Grant County",13432,377,37,20,0,,59,0,1,1,21,
"G0500550","1990","Arkansas","05","050","Greene County","055","0550","Greene County",31498,20,79,36,4,,129,0,0,5,33,
"G0500570","1990","Arkansas","05","050","Hempstead County","057","0570","Hempstead County",14779,6450,74,20,7,,109,14,0,17,151,
"G0500590","1990","Arkansas","05","050","Hot Spring County","059","0590","Hot Spring County",22979,2861,126,32,2,,87,4,0,1,23,
"G0500610","1990","Arkansas","05","050","Howard County","061","0610","Howard County",10460,2906,51,56,2,,44,13,2,4,31,
"G0500630","1990","Arkansas","05","050","Independence County","063","0630","Independence County",30239,595,77,108,1,,105,0,3,7,57,
"G0500650","1990","Arkansas","05","050","Izard County","065","0650","Izard County",11212,11,56,14,0,,54,0,8,4,5,
"G0500670","1990","Arkansas","05","050","Jackson County","067","0670","Jackson County",16042,2748,58,23,7,,39,11,8,0,8,
"G0500690","1990","Arkansas","05","050","Jefferson County","069","0690","Jefferson County",47706,36771,220,347,16,,172,106,7,5,137,
"G0500710","1990","Arkansas","05","050","Johnson County","071","0710","Johnson County",17509,306,103,73,9,,123,3,6,4,85,
"G0500730","1990","Arkansas","05","050","Lafayette County","073","0730","Lafayette County",5867,3699,16,17,3,,17,12,4,0,8,
"G0500750","1990","Arkansas","05","050","Lawrence County","075","0750","Lawrence County",17168,88,124,16,1,,55,0,2,0,3,
"G0500770","1990","Arkansas","05","050","Lee County","077","0770","Lee County",5375,7447,11,46,0,,74,40,0,1,59,
"G0500790","1990","Arkansas","05","050","Lincoln County","079","0790","Lincoln County",8557,4896,63,19,3,,54,39,2,1,56,
"G0500810","1990","Arkansas","05","050","Little River County","081","0810","Little River County",10755,2924,114,13,0,,65,7,2,4,82,
"G0500830","1990","Arkansas","05","050","Logan County","083","0830","Logan County",19990,272,123,24,5,,93,1,2,4,43,
"G0500850","1990","Arkansas","05","050","Lonoke County","085","0850","Lonoke County",35216,3529,160,108,9,,179,7,6,6,48,
"G0500870","1990","Arkansas","05","050","Madison County","087","0870","Madison County",11354,3,137,13,0,,81,0,3,0,27,
"G0500890","1990","Arkansas","05","050","Marion County","089","0890","Marion County",11865,6,52,24,6,,34,0,1,0,13,
"G0500910","1990","Arkansas","05","050","Miller County","091","0910","Miller County",29265,8602,144,135,11,,199,23,4,8,76,
"G0500930","1990","Arkansas","05","050","Mississippi County","093","0930","Mississippi County",40303,15972,160,333,12,,386,34,8,19,298,
"G0500950","1990","Arkansas","05","050","Monroe County","095","0950","Monroe County",6855,4403,25,18,0,,7,19,1,4,1,
"G0500970","1990","Arkansas","05","050","Montgomery County","097","0970","Montgomery County",7673,8,93,11,0,,45,0,0,0,11,
"G0500990","1990","Arkansas","05","050","Nevada County","099","0990","Nevada County",6816,3190,26,5,0,,40,6,1,0,17,
"G0501010","1990","Arkansas","05","050","Newton County","101","1010","Newton County",7556,0,51,13,3,,26,0,0,6,11,
"G0501030","1990","Arkansas","05","050","Ouachita County","103","1030","Ouachita County",19617,10712,43,66,3,,85,27,1,1,19,
"G0501050","1990","Arkansas","05","050","Perry County","105","1050","Perry County",7748,119,38,17,0,,32,0,4,0,11,
"G0501070","1990","Arkansas","05","050","Phillips County","107","1070","Phillips County",12793,15705,36,65,2,,122,48,4,7,56,
"G0501090","1990","Arkansas","05","050","Pike County","109","1090","Pike County",9598,374,54,4,0,,23,4,2,2,25,
"G0501110","1990","Arkansas","05","050","Poinsett County","111","1110","Poinsett County",22700,1770,43,23,4,,97,3,0,5,19,
"G0501130","1990","Arkansas","05","050","Polk County","113","1130","Polk County",16832,0,178,33,3,,203,0,8,0,90,
"G0501150","1990","Arkansas","05","050","Pope County","115","1150","Pope County",43830,1119,308,197,6,,296,10,11,3,103,
"G0501170","1990","Arkansas","05","050","Prairie County","117","1170","Prairie County",8151,1294,30,4,1,,19,0,8,0,11,
"G0501190","1990","Arkansas","05","050","Pulaski County","119","1190","Pulaski County",250549,91976,1128,2692,116,,2005,224,35,70,865,
"G0501210","1990","Arkansas","05","050","Randolph County","121","1210","Randolph County",16265,145,50,19,4,,57,1,2,0,15,
"G0501230","1990","Arkansas","05","050","St. Francis County","123","1230","St. Francis County",14651,13480,47,111,6,,71,41,0,5,85,
"G0501250","1990","Arkansas","05","050","Saline County","125","1250","Saline County",61937,1346,270,239,13,,278,2,15,6,77,
"G0501270","1990","Arkansas","05","050","Scott County","127","1270","Scott County",10003,1,106,49,4,,32,0,0,2,8,
"G0501290","1990","Arkansas","05","050","Searcy County","129","1290","Searcy County",7726,2,66,15,0,,24,0,0,0,8,
"G0501310","1990","Arkansas","05","050","Sebastian County","131","1310","Sebastian County",87989,5617,1364,3216,42,,730,49,32,75,476,
"G0501330","1990","Arkansas","05","050","Sevier County","133","1330","Sevier County",11999,784,202,16,4,,82,3,20,0,527,
"G0501350","1990","Arkansas","05","050","Sharp County","135","1350","Sharp County",13870,64,101,17,0,,38,2,4,0,13,
"G0501370","1990","Arkansas","05","050","Stone County","137","1370","Stone County",9652,8,53,20,0,,35,0,1,0,6,
"G0501390","1990","Arkansas","05","050","Union County","139","1390","Union County",32296,14038,75,87,1,,118,23,4,4,73,
"G0501410","1990","Arkansas","05","050","Van Buren County","141","1410","Van Buren County",13774,41,76,19,0,,71,0,0,3,24,
"G0501430","1990","Arkansas","05","050","Washington County","143","1430","Washington County",107724,1656,1452,1027,24,,1019,20,34,16,437,
"G0501450","1990","Arkansas","05","050","White County","145","1450","White County",52260,1694,226,117,7,,249,9,7,2,105,
"G0501470","1990","Arkansas","05","050","Woodruff County","147","1470","Woodruff County",6496,2982,13,11,1,,6,9,2,0,0,
"G0501490","1990","Arkansas","05","050","Yell County","149","1490","Yell County",17059,367,74,76,6,,113,4,1,22,37,
"G0600010","1990","California","06","060","Alameda County","001","0010","Alameda County",680017,222873,6763,184813,2911,,81798,6376,2131,7741,83759,
"G0600030","1990","California","06","060","Alpine County","003","0030","Alpine County",772,5,257,5,0,,34,1,24,0,15,
"G0600050","1990","California","06","060","Amador County","005","0050","Amador County",25129,1670,461,200,59,,1765,12,32,18,693,
"G0600070","1990","California","06","060","Butte County","007","0070","Butte County",158242,2238,2946,4961,127,,6958,123,295,209,6021,
"G0600090","1990","California","06","060","Calaveras County","009","0090","Calaveras County",29288,180,606,187,23,,1321,4,76,16,297,
"G0600110","1990","California","06","060","Colusa County","011","0110","Colusa County",10105,81,302,321,42,,2337,15,41,36,2995,
"G0600130","1990","California","06","060","Contra Costa County","013","0130","Contra Costa County",560146,72799,4441,73810,1254,,50857,1778,895,3202,34550,
"G0600150","1990","California","06","060","Del Norte County","015","0150","Del Norte County",18302,853,1415,433,43,,1908,5,79,17,405,
"G0600170","1990","California","06","060","El Dorado County","017","0170","El Dorado County",113053,579,1204,2318,64,,6065,27,147,138,2400,
"G0600190","1990","California","06","060","Fresno County","019","0190","Fresno County",338595,31311,5070,54110,1770,,84244,2112,2049,3129,145100,
"G0600210","1990","California","06","060","Glenn County","021","0210","Glenn County",18461,131,447,773,28,,2715,6,64,48,2125,
"G0600230","1990","California","06","060","Humboldt County","023","0230","Humboldt County",104671,934,6188,2255,81,,3210,26,380,60,1313,
"G0600250","1990","California","06","060","Imperial County","025","0250","Imperial County",31742,2272,1563,1632,159,,41873,350,296,503,28913,
"G0600270","1990","California","06","060","Inyo County","027","0270","Inyo County",14819,71,1665,172,18,,958,8,161,6,403,
"G0600290","1990","California","06","060","Kern County","029","0290","Kern County",340892,28851,5620,14879,1240,,37587,1280,1406,1662,110060,
"G0600310","1990","California","06","060","Kings County","031","0310","Kings County",54426,7747,905,3408,432,,10740,496,228,186,22901,
"G0600330","1990","California","06","060","Lake County","033","0330","Lake County",44603,924,998,431,42,,1883,9,161,44,1536,
"G0600350","1990","California","06","060","Lassen County","035","0350","Lassen County",21920,1699,790,293,13,,2295,20,64,17,487,
