GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A68AA2010,CL5AA2010
"G0800070","2010","Colorado","08","080","Archuleta County","007","0070","Archuleta County",3561,9662
"G0800090","2010","Colorado","08","080","Baca County","009","0090","Baca County",1042,2957
"G0800110","2010","Colorado","08","080","Bent County","011","0110","Bent County",1185,3487
"G0800130","2010","Colorado","08","080","Boulder County","013","0130","Boulder County",68891,206784
"G0800140","2010","Colorado","08","080","Broomfield County","014","0140","Broomfield County",14831,46321
"G0800150","2010","Colorado","08","080","Chaffee County","015","0150","Chaffee County",4844,12809
"G0800170","2010","Colorado","08","080","Cheyenne County","017","0170","Cheyenne County",501,1448
"G0800190","2010","Colorado","08","080","Clear Creek County","019","0190","Clear Creek County",2546,6800
"G0800210","2010","Colorado","08","080","Conejos County","021","0210","Conejos County",2176,7053
"G0800230","2010","Colorado","08","080","Costilla County","023","0230","Costilla County",976,2814
"G0800250","2010","Colorado","08","080","Crowley County","025","0250","Crowley County",856,2558
"G0800270","2010","Colorado","08","080","Custer County","027","0270","Custer County",1272,3327
"G0800290","2010","Colorado","08","080","Delta County","029","0290","Delta County",8652,24903
"G0800310","2010","Colorado","08","080","Denver County","031","0310","Denver County",125004,394323
"G0800330","2010","Colorado","08","080","Dolores County","033","0330","Dolores County",602,1691
"G0800350","2010","Colorado","08","080","Douglas County","035","0350","Douglas County",79108,253155
"G0800370","2010","Colorado","08","080","Eagle County","037","0370","Eagle County",11991,38472
"G0800390","2010","Colorado","08","080","Elbert County","039","0390","Elbert County",6719,20520
"G0800410","2010","Colorado","08","080","El Paso County","041","0410","El Paso County",160489,497007
"G0800430","2010","Colorado","08","080","Fremont County","043","0430","Fremont County",10945,30720
"G0800450","2010","Colorado","08","080","Garfield County","045","0450","Garfield County",14188,45288
"G0800470","2010","Colorado","08","080","Gilpin County","047","0470","Gilpin County",1494,4040
"G0800490","2010","Colorado","08","080","Grand County","049","0490","Grand County",3966,11066
"G0800510","2010","Colorado","08","080","Gunnison County","051","0510","Gunnison County",3454,9645
"G0800530","2010","Colorado","08","080","Hinsdale County","053","0530","Hinsdale County",239,630
"G0800550","2010","Colorado","08","080","Huerfano County","055","0550","Huerfano County",1810,4907
"G0800570","2010","Colorado","08","080","Jackson County","057","0570","Jackson County",396,1078
"G0800590","2010","Colorado","08","080","Jefferson County","059","0590","Jefferson County",142779,422209
"G0800610","2010","Colorado","08","080","Kiowa County","061","0610","Kiowa County",406,1144
"G0800630","2010","Colorado","08","080","Kit Carson County","063","0630","Kit Carson County",1955,5825
"G0800650","2010","Colorado","08","080","Lake County","065","0650","Lake County",1796,5483
"G0800670","2010","Colorado","08","080","La Plata County","067","0670","La Plata County",12982,37137
"G0800690","2010","Colorado","08","080","Larimer County","069","0690","Larimer County",74993,220446
"G0800710","2010","Colorado","08","080","Las Animas County","071","0710","Las Animas County",4013,11611
"G0800730","2010","Colorado","08","080","Lincoln County","073","0730","Lincoln County",1210,3511
"G0800750","2010","Colorado","08","080","Logan County","075","0750","Logan County",5095,14829
"G0800770","2010","Colorado","08","080","Mesa County","077","0770","Mesa County",38593,114645
"G0800790","2010","Colorado","08","080","Mineral County","079","0790","Mineral County",218,544
"G0800810","2010","Colorado","08","080","Moffat County","081","0810","Moffat County",3719,11263
"G0800830","2010","Colorado","08","080","Montezuma County","083","0830","Montezuma County",7078,20615
"G0800850","2010","Colorado","08","080","Montrose County","085","0850","Montrose County",11461,33997
"G0800870","2010","Colorado","08","080","Morgan County","087","0870","Morgan County",7202,23235
"G0800890","2010","Colorado","08","080","Otero County","089","0890","Otero County",5035,14908
"G0800910","2010","Colorado","08","080","Ouray County","091","0910","Ouray County",1360,3574
"G0800930","2010","Colorado","08","080","Park County","093","0930","Park County",4770,12937
"G0800950","2010","Colorado","08","080","Phillips County","095","0950","Phillips County",1194,3635
"G0800970","2010","Colorado","08","080","Pitkin County","097","0970","Pitkin County",3905,10889
"G0800990","2010","Colorado","08","080","Prowers County","099","0990","Prowers County",3351,10184
"G0801010","2010","Colorado","08","080","Pueblo County","101","1010","Pueblo County",41307,124808
"G0801030","2010","Colorado","08","080","Rio Blanco County","103","1030","Rio Blanco County",1811,5345
"G0801050","2010","Colorado","08","080","Rio Grande County","105","1050","Rio Grande County",3297,9773
"G0801070","2010","Colorado","08","080","Routt County","107","1070","Routt County",6006,17077
"G0801090","2010","Colorado","08","080","Saguache County","109","1090","Saguache County",1608,4740
"G0801110","2010","Colorado","08","080","San Juan County","111","1110","San Juan County",156,445
"G0801130","2010","Colorado","08","080","San Miguel County","113","1130","San Miguel County",1697,4797
"G0801150","2010","Colorado","08","080","Sedgwick County","115","1150","Sedgwick County",671,1849
"G0801170","2010","Colorado","08","080","Summit County","117","1170","Summit County",6553,18330
"G0801190","2010","Colorado","08","080","Teller County","119","1190","Teller County",6934,19363
"G0801210","2010","Colorado","08","080","Washington County","121","1210","Washington County",1293,3810
"G0801230","2010","Colorado","08","080","Weld County","123","1230","Weld County",63933,207179
"G0801250","2010","Colorado","08","080","Yuma County","125","1250","Yuma County",2693,8252
"G0900010","2010","Connecticut","09","090","Fairfield County","001","0010","Fairfield County",232896,747547
"G0900030","2010","Connecticut","09","090","Hartford County","003","0030","Hartford County",227831,696388
"G0900050","2010","Connecticut","09","090","Litchfield County","005","0050","Litchfield County",51530,152990
"G0900070","2010","Connecticut","09","090","Middlesex County","007","0070","Middlesex County",43743,128826
"G0900090","2010","Connecticut","09","090","New Haven County","009","0090","New Haven County",215749,667197
"G0900110","2010","Connecticut","09","090","New London County","011","0110","New London County",69862,208265
"G0900130","2010","Connecticut","09","090","Tolland County","013","0130","Tolland County",36707,110130
"G0900150","2010","Connecticut","09","090","Windham County","015","0150","Windham County",30343,91187
"G1000010","2010","Delaware","10","100","Kent County","001","0010","Kent County",42290,130486
"G1000030","2010","Delaware","10","100","New Castle County","003","0030","New Castle County",134743,419034
"G1000050","2010","Delaware","10","100","Sussex County","005","0050","Sussex County",53698,155372
"G1100010","2010","District Of Columbia","11","110","District of Columbia","001","0010","District of Columbia",112715,339394
"G1200010","2010","Florida","12","120","Alachua County","001","0010","Alachua County",53500,155647
"G1200030","2010","Florida","12","120","Baker County","003","0030","Baker County",6717,21585
"G1200050","2010","Florida","12","120","Bay County","005","0050","Bay County",44451,129623
"G1200070","2010","Florida","12","120","Bradford County","007","0070","Bradford County",6581,19698
"G1200090","2010","Florida","12","120","Brevard County","009","0090","Brevard County",148392,422080
"G1200110","2010","Florida","12","120","Broward County","011","0110","Broward County",434488,1365488
