GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A68AA2000,CL5AA2000,B69AA2000,B69AB2000,B69AC2000,B84AA2000,B84AB2000,B84AC2000,B84AD2000,B84AE2000,B84AF2000
"G0501390","2000","Arkansas","05","050","Union County","139","1390","Union County",12652,37957,2544,22975,4467,20064,27,20037,18655,1382,15280
"G0501410","2000","Arkansas","05","050","Van Buren County","141","1410","Van Buren County",4804,13414,1358,8911,1333,6516,2,6514,6080,434,6591
"G0501430","2000","Arkansas","05","050","Washington County","143","1430","Washington County",39483,121122,7830,63114,23075,83716,25,83691,77114,6577,38868
"G0501450","2000","Arkansas","05","050","White County","145","1450","White County",18412,54784,4550,31242,6574,32954,118,32836,29128,3708,19634
"G0501470","2000","Arkansas","05","050","Woodruff County","147","1470","Woodruff County",2439,7245,935,4321,460,3778,3,3775,3474,301,2976
"G0501490","2000","Arkansas","05","050","Yell County","149","1490","Yell County",5816,17699,2162,10007,1490,9641,7,9634,9135,499,6755
"G0600010","2000","California","06","060","Alameda County","001","0010","Alameda County",339096,1121757,76513,544249,332954,734555,1361,733194,692833,40361,390412
"G0600030","2000","California","06","060","Alpine County","003","0030","Alpine County",295,873,21,551,225,683,0,683,628,55,301
"G0600050","2000","California","06","060","Amador County","005","0050","Amador County",9069,25449,1008,20288,4253,14230,0,14230,13610,620,14856
"G0600070","2000","California","06","060","Butte County","007","0070","Butte County",49386,149116,7469,91593,27674,91098,201,90897,82403,8494,69222
"G0600090","2000","California","06","060","Calaveras County","009","0090","Calaveras County",11747,33447,849,23356,4996,17565,10,17555,16202,1353,14978
"G0600110","2000","California","06","060","Colusa County","011","0110","Colusa County",4576,16078,2517,7233,1162,8105,0,8105,7237,868,5527
"G0600130","2000","California","06","060","Contra Costa County","013","0130","Contra Costa County",242233,781647,32804,373789,219048,474669,632,474037,451357,22680,249782
"G0600150","2000","California","06","060","Del Norte County","015","0150","Del Norte County",6293,19366,1230,15201,2028,10079,50,10029,8959,1070,11545
"G0600170","2000","California","06","060","El Dorado County","017","0170","El Dorado County",43029,130657,2941,74226,27867,78086,59,78027,73821,4206,42306
"G0600190","2000","California","06","060","Fresno County","019","0190","Fresno County",186736,669503,83487,292126,79927,341944,304,341640,301306,40334,229373
