GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B79AA125,B79AA125M
"G0500710","2008-2012","Arkansas","05","050","Johnson County","071","0710","Johnson County, Arkansas",32198,1958
"G0500730","2008-2012","Arkansas","05","050","Lafayette County","073","0730","Lafayette County, Arkansas",28633,2535
"G0500750","2008-2012","Arkansas","05","050","Lawrence County","075","0750","Lawrence County, Arkansas",32205,3289
"G0500770","2008-2012","Arkansas","05","050","Lee County","077","0770","Lee County, Arkansas",26098,4375
"G0500790","2008-2012","Arkansas","05","050","Lincoln County","079","0790","Lincoln County, Arkansas",34107,4654
"G0500810","2008-2012","Arkansas","05","050","Little River County","081","0810","Little River County, Arkansas",39042,4026
"G0500830","2008-2012","Arkansas","05","050","Logan County","083","0830","Logan County, Arkansas",37237,2694
"G0500850","2008-2012","Arkansas","05","050","Lonoke County","085","0850","Lonoke County, Arkansas",51499,1176
"G0500870","2008-2012","Arkansas","05","050","Madison County","087","0870","Madison County, Arkansas",33481,2165
"G0500890","2008-2012","Arkansas","05","050","Marion County","089","0890","Marion County, Arkansas",33497,2075
"G0500910","2008-2012","Arkansas","05","050","Miller County","091","0910","Miller County, Arkansas",40314,2092
"G0500930","2008-2012","Arkansas","05","050","Mississippi County","093","0930","Mississippi County, Arkansas",35651,2679
"G0500950","2008-2012","Arkansas","05","050","Monroe County","095","0950","Monroe County, Arkansas",28075,3042
"G0500970","2008-2012","Arkansas","05","050","Montgomery County","097","0970","Montgomery County, Arkansas",33240,4087
"G0500990","2008-2012","Arkansas","05","050","Nevada County","099","0990","Nevada County, Arkansas",35578,3063
"G0501010","2008-2012","Arkansas","05","050","Newton County","101","1010","Newton County, Arkansas",27790,4011
"G0501030","2008-2012","Arkansas","05","050","Ouachita County","103","1030","Ouachita County, Arkansas",32032,2099
"G0501050","2008-2012","Arkansas","05","050","Perry County","105","1050","Perry County, Arkansas",42738,4981
"G0501070","2008-2012","Arkansas","05","050","Phillips County","107","1070","Phillips County, Arkansas",27219,2160
"G0501090","2008-2012","Arkansas","05","050","Pike County","109","1090","Pike County, Arkansas",32087,2002
"G0501110","2008-2012","Arkansas","05","050","Poinsett County","111","1110","Poinsett County, Arkansas",31743,1612
"G0501130","2008-2012","Arkansas","05","050","Polk County","113","1130","Polk County, Arkansas",33479,1948
"G0501150","2008-2012","Arkansas","05","050","Pope County","115","1150","Pope County, Arkansas",40948,1859
"G0501170","2008-2012","Arkansas","05","050","Prairie County","117","1170","Prairie County, Arkansas",35806,2406
"G0501190","2008-2012","Arkansas","05","050","Pulaski County","119","1190","Pulaski County, Arkansas",46102,896
"G0501210","2008-2012","Arkansas","05","050","Randolph County","121","1210","Randolph County, Arkansas",32539,3276
"G0501230","2008-2012","Arkansas","05","050","St. Francis County","123","1230","St. Francis County, Arkansas",30104,3307
"G0501250","2008-2012","Arkansas","05","050","Saline County","125","1250","Saline County, Arkansas",53817,1603
"G0501270","2008-2012","Arkansas","05","050","Scott County","127","1270","Scott County, Arkansas",38130,4620
"G0501290","2008-2012","Arkansas","05","050","Searcy County","129","1290","Searcy County, Arkansas",30301,2728
"G0501310","2008-2012","Arkansas","05","050","Sebastian County","131","1310","Sebastian County, Arkansas",40247,1134
"G0501330","2008-2012","Arkansas","05","050","Sevier County","133","1330","Sevier County, Arkansas",32081,4376
"G0501350","2008-2012","Arkansas","05","050","Sharp County","135","1350","Sharp County, Arkansas",30240,2099
"G0501370","2008-2012","Arkansas","05","050","Stone County","137","1370","Stone County, Arkansas",32834,2563
"G0501390","2008-2012","Arkansas","05","050","Union County","139","1390","Union County, Arkansas",39349,2522
"G0501410","2008-2012","Arkansas","05","050","Van Buren County","141","1410","Van Buren County, Arkansas",33900,1882
"G0501430","2008-2012","Arkansas","05","050","Washington County","143","1430","Washington County, Arkansas",41429,1015
"G0501450","2008-2012","Arkansas","05","050","White County","145","1450","White County, Arkansas",41410,2231
"G0501470","2008-2012","Arkansas","05","050","Woodruff County","147","1470","Woodruff County, Arkansas",28061,2208
"G0501490","2008-2012","Arkansas","05","050","Yell County","149","1490","Yell County, Arkansas",38245,3090
"G0600010","2008-2012","California","06","060","Alameda County","001","0010","Alameda County, California",71516,707
"G0600030","2008-2012","California","06","060","Alpine County","003","0030","Alpine County, California",59931,9424
"G0600050","2008-2012","California","06","060","Amador County","005","0050","Amador County, California",53462,3001
"G0600070","2008-2012","California","06","060","Butte County","007","0070","Butte County, California",43339,1138
"G0600090","2008-2012","California","06","060","Calaveras County","009","0090","Calaveras County, California",54686,2615
"G0600110","2008-2012","California","06","060","Colusa County","011","0110","Colusa County, California",52165,3165
"G0600130","2008-2012","California","06","060","Contra Costa County","013","0130","Contra Costa County, California",78187,1082
"G0600150","2008-2012","California","06","060","Del Norte County","015","0150","Del Norte County, California",39626,4223
"G0600170","2008-2012","California","06","060","El Dorado County","017","0170","El Dorado County, California",70117,1932
"G0600190","2008-2012","California","06","060","Fresno County","019","0190","Fresno County, California",45741,646
"G0600210","2008-2012","California","06","060","Glenn County","021","0210","Glenn County, California",42641,4980
"G0600230","2008-2012","California","06","060","Humboldt County","023","0230","Humboldt County, California",40830,1524
"G0600250","2008-2012","California","06","060","Imperial County","025","0250","Imperial County, California",41255,1301
"G0600270","2008-2012","California","06","060","Inyo County","027","0270","Inyo County, California",45000,2771
"G0600290","2008-2012","California","06","060","Kern County","029","0290","Kern County, California",47727,855
"G0600310","2008-2012","California","06","060","Kings County","031","0310","Kings County, California",48761,1255
"G0600330","2008-2012","California","06","060","Lake County","033","0330","Lake County, California",38147,2086
"G0600350","2008-2012","California","06","060","Lassen County","035","0350","Lassen County, California",51921,3072
"G0600370","2008-2012","California","06","060","Los Angeles County","037","0370","Los Angeles County, California",56241,266
"G0600390","2008-2012","California","06","060","Madera County","039","0390","Madera County, California",47937,1911
"G0600410","2008-2012","California","06","060","Marin County","041","0410","Marin County, California",90962,2189
"G0600430","2008-2012","California","06","060","Mariposa County","043","0430","Mariposa County, California",52584,5844
"G0600450","2008-2012","California","06","060","Mendocino County","045","0450","Mendocino County, California",43721,2226
"G0600470","2008-2012","California","06","060","Merced County","047","0470","Merced County, California",43565,1385
"G0600490","2008-2012","California","06","060","Modoc County","049","0490","Modoc County, California",37482,2172
"G0600510","2008-2012","California","06","060","Mono County","051","0510","Mono County, California",61868,9290
"G0600530","2008-2012","California","06","060","Monterey County","053","0530","Monterey County, California",60143,1081
"G0600550","2008-2012","California","06","060","Napa County","055","0550","Napa County, California",69571,1746
"G0600570","2008-2012","California","06","060","Nevada County","057","0570","Nevada County, California",57382,2013
"G0600590","2008-2012","California","06","060","Orange County","059","0590","Orange County, California",75566,417
"G0600610","2008-2012","California","06","060","Placer County","061","0610","Placer County, California",73356,1244
"G0600630","2008-2012","California","06","060","Plumas County","063","0630","Plumas County, California",45358,2713
"G0600650","2008-2012","California","06","060","Riverside County","065","0650","Riverside County, California",57096,485
"G0600670","2008-2012","California","06","060","Sacramento County","067","0670","Sacramento County, California",55846,506
"G0600690","2008-2012","California","06","060","San Benito County","069","0690","San Benito County, California",63939,2603
